date,views
2011-03-22,3528
2011-03-23,3405
2011-03-24,3640
2011-03-25,4311
2011-03-26,4749
2011-03-27,4510
2011-03-28,3992
2011-03-29,3911
2011-03-30,3778
2011-03-31,3986
2011-04-01,4018
2011-04-02,4268
2011-04-03,3884
2011-04-04,3486
2011-04-05,3644
2011-04-06,3604
2011-04-07,4289
2011-04-08,5537
2011-04-09,5951
2011-04-10,5781
2011-04-11,6771
2011-04-12,6925
2011-04-13,6686
2011-04-14,4971
2011-04-15,4608
2011-04-16,5239
2011-04-17,4406
2011-04-18,4240
2011-04-19,4361
2011-04-20,4207
2011-04-21,6517
2011-04-22,6575
2011-04-23,6695
2011-04-24,6202
2011-04-25,5844
2011-04-26,5926
2011-04-27,5853
2011-04-28,5330
2011-04-29,4184
2011-04-30,4744
2011-05-01,4576
2011-05-02,3880
2011-05-03,4096
2011-05-04,4077
2011-05-05,4146
2011-05-06,4035
2011-05-07,4293
2011-05-08,3949
2011-05-09,3654
2011-05-10,3543
2011-05-11,3658
2011-05-12,3822
2011-05-13,4151
2011-05-14,4609
2011-05-15,4284
2011-05-16,3889
2011-05-17,3953
2011-05-18,3691
2011-05-19,3925
2011-05-20,4056
2011-05-21,4395
2011-05-22,4227
2011-05-23,3867
2011-05-24,3827
2011-05-25,4089
2011-05-26,4028
2011-05-27,4462
2011-05-28,4726
2011-05-29,4475
2011-05-30,4048
2011-05-31,3984
2011-06-01,4028
2011-06-02,4152
2011-06-03,4194
2011-06-04,4367
2011-06-05,4062
2011-06-06,3761
2011-06-07,3717
2011-06-08,3864
2011-06-09,4021
2011-06-10,4352
2011-06-11,4497
2011-06-12,4122
2011-06-13,4044
2011-06-14,3430
2011-06-15,3239
2011-06-16,3294
2011-06-17,3889
2011-06-18,3765
2011-06-19,3434
2011-06-20,3700
2011-06-21,3603
2011-06-22,3554
2011-06-23,3720
2011-06-24,3933
2011-06-25,3716
2011-06-26,3284
2011-06-27,3549
2011-06-28,3508
2011-06-29,3530
2011-06-30,3437
2011-07-01,3727
2011-07-02,3270
2011-07-03,3382
2011-07-04,3371
2011-07-05,3541
2011-07-06,3694
2011-07-07,3392
2011-07-08,3367
2011-07-09,3293
